D,method,mode,n_features,nfp_sig,nfp_pct,nfp_sig_fixed768,nfp_pct_fixed768,projfrac_wtau_sig,projfrac_wstatic_sig,diag_dominant
16,pca,sign_split,32,32,100.0000,32,100.0000,0.085995,0.913952,False
16,pca,signed,16,16,100.0000,16,100.0000,0.085995,0.913952,False
16,ica,sign_split,32,32,100.0000,32,100.0000,0.085622,0.914325,False
16,ica,signed,16,16,100.0000,16,100.0000,0.085622,0.914325,False
32,pca,sign_split,64,64,100.0000,64,100.0000,0.055400,0.944544,False
32,pca,signed,32,32,100.0000,32,100.0000,0.055400,0.944544,False
32,ica,sign_split,64,64,100.0000,64,100.0000,0.054995,0.944949,False
32,ica,signed,32,32,100.0000,32,100.0000,0.054995,0.944949,False
64,pca,sign_split,128,128,100.0000,128,100.0000,0.043760,0.956177,False
64,pca,signed,64,64,100.0000,64,100.0000,0.043760,0.956177,False
64,ica,sign_split,128,128,100.0000,128,100.0000,0.039301,0.960635,False
64,ica,signed,64,64,100.0000,64,100.0000,0.039301,0.960635,False
128,pca,sign_split,256,210,82.0312,210,82.0312,0.047614,0.952313,False
128,pca,signed,128,105,82.0312,105,82.0312,0.047614,0.952313,False
128,ica,sign_split,256,256,100.0000,255,99.6094,0.003833,0.029225,False
128,ica,signed,128,128,100.0000,128,100.0000,0.003833,0.029225,False
256,pca,sign_split,512,210,41.0156,210,41.0156,0.047614,0.952313,False
256,pca,signed,256,105,41.0156,105,41.0156,0.047614,0.952313,False
256,ica,sign_split,512,461,90.0391,460,89.8438,0.001346,0.006210,False
256,ica,signed,256,244,95.3125,239,93.3594,0.001273,0.005957,False
512,pca,sign_split,1024,210,20.5078,211,20.6055,0.047614,0.952313,False
512,pca,signed,512,105,20.5078,105,20.5078,0.047614,0.952313,False
512,ica,sign_split,1024,-1,nan,-1,nan,nan,nan,False
512,ica,signed,512,-1,nan,-1,nan,nan,nan,False
768,pca,sign_split,1536,210,13.6719,211,13.7370,0.047614,0.952313,False
768,pca,signed,768,105,13.6719,105,13.6719,0.047614,0.952313,False
768,ica,sign_split,1536,-1,nan,-1,nan,nan,nan,False
768,ica,signed,768,-1,nan,-1,nan,nan,nan,False
